boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned,stim_rank
0.5,b=0.50,0.095238097012043,1,1,0.0,0.30040234,0.0,2,-0.404761902987957,-0.19959765672683716,2.0
0.5,b=0.50,0.1428571492433548,2,2,0.0,0.319809,0.0,2,-0.3571428507566452,-0.1801910102367401,3.0
0.5,b=0.50,0.190476194024086,3,3,0.0,0.34042662,0.0,2,-0.309523805975914,-0.15957337617874146,4.0
0.5,b=0.50,0.2380952388048172,4,4,0.0,0.3626485,0.0,2,-0.2619047611951828,-0.13735151290893555,5.0
0.5,b=0.50,0.2857142984867096,5,5,0.0,0.38547322,0.0,2,-0.2142857015132904,-0.11452677845954895,6.0
0.5,b=0.50,0.3333333432674408,6,6,0.0,0.40881303,0.0,2,-0.1666666567325592,-0.09118697047233582,7.0
0.5,b=0.50,0.380952388048172,7,7,0.0,0.43257132,0.0,2,-0.119047611951828,-0.06742867827415466,8.0
0.5,b=0.50,0.4285714328289032,8,8,0.0,0.45664376,0.0,2,-0.0714285671710968,-0.043356239795684814,9.0
0.5,b=0.50,0.4761904776096344,9,9,0.0,0.48092052,0.0,2,-0.0238095223903656,-0.019079476594924927,10.0
0.5,b=0.50,0.523809552192688,10,10,1.0,0.50528765,1.0,2,0.02380955219268799,0.005287647247314453,11.0
0.5,b=0.50,0.5714285969734192,11,11,1.0,0.5296297,1.0,2,0.07142859697341919,0.02962970733642578,12.0
0.5,b=0.50,0.6190476417541504,12,12,1.0,0.5538316,1.0,2,0.11904764175415039,0.05383157730102539,13.0
0.5,b=0.50,0.6666666865348816,13,13,1.0,0.57778096,1.0,2,0.1666666865348816,0.07778096199035645,14.0
0.5,b=0.50,0.7142857313156128,14,14,1.0,0.60137004,1.0,2,0.2142857313156128,0.10137003660202026,15.0
0.5,b=0.50,0.761904776096344,15,15,1.0,0.62449783,1.0,2,0.261904776096344,0.12449783086776733,16.0
0.5,b=0.50,0.8095238208770752,16,16,1.0,0.6470711,1.0,2,0.3095238208770752,0.14707112312316895,17.0
0.5,b=0.50,0.8571428656578064,17,17,1.0,0.6690068,1.0,2,0.3571428656578064,0.1690068244934082,18.0
0.5,b=0.50,0.9047619104385376,18,18,1.0,0.6902317,1.0,2,0.4047619104385376,0.19023168087005615,19.0
0.5,b=0.50,0.9523809552192688,19,19,1.0,0.7106841,1.0,2,0.4523809552192688,0.21068412065505981,20.0
0.75,b=0.75,0.2857142984867096,0,0,0.0,0.54558533,0.0,2,-0.4642857015132904,-0.20441466569900513,1.0
0.75,b=0.75,0.3333333432674408,1,1,0.0,0.56963336,0.0,2,-0.4166666567325592,-0.1803666353225708,2.0
0.75,b=0.75,0.380952388048172,2,2,0.0,0.5933573,0.0,2,-0.369047611951828,-0.15664267539978027,3.0
0.75,b=0.75,0.4285714328289032,3,3,0.0,0.6166535,0.0,2,-0.3214285671710968,-0.13334649801254272,4.0
0.75,b=0.75,0.4761904776096344,4,4,0.0,0.6394262,0.0,2,-0.2738095223903656,-0.11057382822036743,5.0
0.75,b=0.75,0.523809552192688,5,5,0.0,0.66158855,0.0,2,-0.226190447807312,-0.08841145038604736,6.0
0.75,b=0.75,0.5714285969734192,6,6,0.0,0.6830638,0.0,2,-0.1785714030265808,-0.066936194896698,7.0
0.75,b=0.75,0.6190476417541504,7,7,0.0,0.7037864,0.0,2,-0.1309523582458496,-0.046213626861572266,8.0
0.75,b=0.75,0.6666666865348816,8,8,0.0,0.72370213,0.0,2,-0.08333331346511841,-0.02629786729812622,9.0
0.75,b=0.75,0.7142857313156128,9,9,0.0,0.7427683,0.0,2,-0.03571426868438721,-0.007231712341308594,10.0
0.75,b=0.75,0.761904776096344,10,10,1.0,0.7609533,1.0,2,0.011904776096343994,0.010953307151794434,11.5
0.75,b=0.75,0.761904776096344,11,10,1.0,0.7609533,1.0,2,0.011904776096343994,0.010953307151794434,11.5
