boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,rep,resp,class_pred,net_idx,stim_aligned,resp_aligned
0.75,b=0.75,0.325,1,1,0.0,9,0.498016,0.0,1,-0.425,-0.25198400020599365
0.75,b=0.75,0.325,1,1,0.0,3,0.498016,0.0,1,-0.425,-0.25198400020599365
0.75,b=0.75,0.325,1,1,0.0,8,0.498016,0.0,1,-0.425,-0.25198400020599365
0.25,b=0.25,0.125,5,2,0.0,0,0.110411756,0.0,1,-0.125,-0.13958824425935745
0.25,b=0.25,0.125,5,2,0.0,2,0.110411756,0.0,1,-0.125,-0.13958824425935745
0.25,b=0.25,0.125,4,2,0.0,3,0.110411756,0.0,1,-0.125,-0.13958824425935745
0.25,b=0.25,0.125,5,2,0.0,9,0.110411756,0.0,1,-0.125,-0.13958824425935745
0.25,b=0.25,0.125,4,2,0.0,0,0.110411756,0.0,1,-0.125,-0.13958824425935745
0.25,b=0.25,0.125,4,2,0.0,1,0.110411756,0.0,1,-0.125,-0.13958824425935745
0.5,b=0.50,0.125,2,2,0.0,9,0.25213367,0.0,1,-0.375,-0.24786633253097534
0.5,b=0.50,0.125,2,2,0.0,3,0.25213367,0.0,1,-0.375,-0.24786633253097534
0.5,b=0.50,0.125,2,2,0.0,8,0.25213367,0.0,1,-0.375,-0.24786633253097534
0.75,b=0.75,0.375,2,2,0.0,9,0.5249921,0.0,1,-0.375,-0.22500789165496826
0.75,b=0.75,0.375,2,2,0.0,3,0.5249921,0.0,1,-0.375,-0.22500789165496826
0.75,b=0.75,0.375,2,2,0.0,8,0.5249921,0.0,1,-0.375,-0.22500789165496826
0.25,b=0.25,0.175,7,3,0.0,0,0.1259219,0.0,1,-0.07500000000000001,-0.12407809495925903
0.25,b=0.25,0.175,7,3,0.0,2,0.1259219,0.0,1,-0.07500000000000001,-0.12407809495925903
0.25,b=0.25,0.175,6,3,0.0,3,0.1259219,0.0,1,-0.07500000000000001,-0.12407809495925903
0.25,b=0.25,0.175,7,3,0.0,9,0.1259219,0.0,1,-0.07500000000000001,-0.12407809495925903
0.25,b=0.25,0.175,6,3,0.0,0,0.1259219,0.0,1,-0.07500000000000001,-0.12407809495925903
0.25,b=0.25,0.175,6,3,0.0,1,0.1259219,0.0,1,-0.07500000000000001,-0.12407809495925903
0.5,b=0.50,0.175,3,3,0.0,9,0.27500084,0.0,1,-0.325,-0.22499915957450867
0.5,b=0.50,0.175,3,3,0.0,3,0.27500084,0.0,1,-0.325,-0.22499915957450867
0.5,b=0.50,0.175,3,3,0.0,8,0.27500084,0.0,1,-0.325,-0.22499915957450867
0.75,b=0.75,0.425,3,3,0.0,9,0.5588861,0.0,1,-0.325,-0.1911138892173767
0.75,b=0.75,0.425,3,3,0.0,3,0.5588861,0.0,1,-0.325,-0.1911138892173767
0.75,b=0.75,0.425,3,3,0.0,8,0.5588861,0.0,1,-0.325,-0.1911138892173767
0.25,b=0.25,0.22499999999999998,9,4,0.0,0,0.15585732,0.0,1,-0.025000000000000022,-0.09414267539978027
0.25,b=0.25,0.22499999999999998,9,4,0.0,2,0.15585732,0.0,1,-0.025000000000000022,-0.09414267539978027
0.25,b=0.25,0.22499999999999998,8,4,0.0,3,0.15585732,0.0,1,-0.025000000000000022,-0.09414267539978027
0.25,b=0.25,0.22499999999999998,9,4,0.0,9,0.15585732,0.0,1,-0.025000000000000022,-0.09414267539978027
0.25,b=0.25,0.22499999999999998,8,4,0.0,0,0.15585732,0.0,1,-0.025000000000000022,-0.09414267539978027
0.25,b=0.25,0.22499999999999998,8,4,0.0,1,0.15585732,0.0,1,-0.025000000000000022,-0.09414267539978027
0.5,b=0.50,0.22499999999999998,4,4,0.0,9,0.29786804,0.0,1,-0.275,-0.2021319568157196
0.5,b=0.50,0.22499999999999998,4,4,0.0,3,0.29786804,0.0,1,-0.275,-0.2021319568157196
0.5,b=0.50,0.22499999999999998,4,4,0.0,8,0.29786804,0.0,1,-0.275,-0.2021319568157196
0.75,b=0.75,0.475,4,4,0.0,9,0.59278005,0.0,1,-0.275,-0.15721994638442993
0.75,b=0.75,0.475,4,4,0.0,3,0.59278005,0.0,1,-0.275,-0.15721994638442993
0.75,b=0.75,0.475,4,4,0.0,8,0.59278005,0.0,1,-0.275,-0.15721994638442993
0.25,b=0.25,0.27499999999999997,10,5,1.0,9,0.18975127,0.0,1,0.024999999999999967,-0.060248732566833496
0.25,b=0.25,0.27499999999999997,10,5,1.0,3,0.18975127,0.0,1,0.024999999999999967,-0.060248732566833496
0.25,b=0.25,0.27499999999999997,10,5,1.0,8,0.18975127,0.0,1,0.024999999999999967,-0.060248732566833496
0.5,b=0.50,0.27499999999999997,5,5,0.0,9,0.32347777,0.0,1,-0.22500000000000003,-0.17652222514152527
0.5,b=0.50,0.27499999999999997,5,5,0.0,3,0.32347777,0.0,1,-0.22500000000000003,-0.17652222514152527
